Area Type,Area Name,Date,Year,Month,SeasonallyAdjusted,NotSeasonallyAdjusted
National,U.S.,2015/10,2015,October,5.0,4.8
National,U.S.,2015/11,2015,November,5.1,4.8
National,U.S.,2015/12,2015,December,5.0,4.8
National,U.S.,2016/01,2016,January,4.8,5.3
National,U.S.,2016/02,2016,February,4.9,5.2
National,U.S.,2016/03,2016,March,5.0,5.1
National,U.S.,2016/04,2016,April,5.1,4.7
National,U.S.,2016/05,2016,May,4.8,4.5
National,U.S.,2016/06,2016,June,4.9,5.1
National,U.S.,2016/07,2016,July,4.8,5.1
National,U.S.,2016/08,2016,August,4.9,5.0
National,U.S.,2016/09,2016,September,5.0,4.8
National,U.S.,2016/10,2016,October,4.9,4.7
National,U.S.,2016/11,2016,November,4.7,4.4
National,U.S.,2016/12,2016,December,4.7,4.5
National,U.S.,2017/01,2017,January,4.7,5.1
National,U.S.,2017/02,2017,February,4.6,4.9
National,U.S.,2017/03,2017,March,4.4,4.6
National,U.S.,2017/04,2017,April,4.4,4.1
National,U.S.,2017/05,2017,May,4.4,4.1
National,U.S.,2017/06,2017,June,4.3,4.5
National,U.S.,2017/07,2017,July,4.3,4.6
National,U.S.,2017/08,2017,August,4.4,4.5
National,U.S.,2017/09,2017,September,4.3,4.1
National,U.S.,2017/10,2017,October,4.2,3.9
National,U.S.,2017/11,2017,November,4.2,3.9
National,U.S.,2017/12,2017,December,4.1,3.9
National,U.S.,2018/01,2018,January,4.0,4.5
National,U.S.,2018/02,2018,February,4.1,4.4
National,U.S.,2018/03,2018,March,4.0,4.1
National,U.S.,2018/04,2018,April,4.0,3.7
National,U.S.,2018/05,2018,May,3.8,3.6
National,U.S.,2018/06,2018,June,4.0,4.2
National,U.S.,2018/07,2018,July,3.8,4.1
National,U.S.,2018/08,2018,August,3.8,3.9
National,U.S.,2018/09,2018,September,3.7,3.6
National,U.S.,2018/10,2018,October,3.8,3.5
National,U.S.,2018/11,2018,November,3.8,3.5
National,U.S.,2018/12,2018,December,3.9,3.7
National,U.S.,2019/01,2019,January,4.0,4.4
National,U.S.,2019/02,2019,February,3.8,4.1
National,U.S.,2019/03,2019,March,3.8,3.9
National,U.S.,2019/04,2019,April,3.7,3.3
National,U.S.,2019/05,2019,May,3.6,3.4
National,U.S.,2019/06,2019,June,3.6,3.8
National,U.S.,2019/07,2019,July,3.7,4.0
National,U.S.,2019/08,2019,August,3.6,3.8
National,U.S.,2019/09,2019,September,3.5,3.3
National,U.S.,2019/10,2019,October,3.6,3.3
National,U.S.,2019/11,2019,November,3.6,3.3
National,U.S.,2019/12,2019,December,3.6,3.4
National,U.S.,2020/01,2020,January,3.6,4.0
National,U.S.,2020/02,2020,February,3.5,3.8
National,U.S.,2020/03,2020,March,4.4,4.5
National,U.S.,2020/04,2020,April,14.8,14.4
National,U.S.,2020/05,2020,May,13.2,13.0
National,U.S.,2020/06,2020,June,11.0,11.2
National,U.S.,2020/07,2020,July,10.2,10.5
National,U.S.,2020/08,2020,August,8.4,8.5
National,U.S.,2020/09,2020,September,7.8,7.7
National,U.S.,2020/10,2020,October,6.8,6.6
National,U.S.,2020/11,2020,November,6.7,6.4
National,U.S.,2020/12,2020,December,6.7,6.5
National,U.S.,2021/01,2021,January,6.4,6.8
National,U.S.,2021/02,2021,February,6.2,6.6
National,U.S.,2021/03,2021,March,6.1,6.2
National,U.S.,2021/04,2021,April,6.1,5.7
National,U.S.,2021/05,2021,May,5.8,5.5
National,U.S.,2021/06,2021,June,5.9,6.1
National,U.S.,2021/07,2021,July,5.4,5.7
National,U.S.,2021/08,2021,August,5.1,5.3
National,U.S.,2021/09,2021,September,4.7,4.6
National,U.S.,2021/10,2021,October,4.5,4.3
National,U.S.,2021/11,2021,November,4.1,3.9
National,U.S.,2021/12,2021,December,3.9,3.7
National,U.S.,2022/01,2022,January,4.0,4.4
National,U.S.,2022/02,2022,February,3.8,4.1
National,U.S.,2022/03,2022,March,3.6,3.8
National,U.S.,2022/04,2022,April,3.7,3.3
National,U.S.,2022/05,2022,May,3.6,3.4
National,U.S.,2022/06,2022,June,3.6,3.8
National,U.S.,2022/07,2022,July,3.5,3.8
National,U.S.,2022/08,2022,August,3.6,3.8
National,U.S.,2022/09,2022,September,3.5,3.3
National,U.S.,2022/10,2022,October,3.6,3.4
National,U.S.,2022/11,2022,November,3.6,3.4
National,U.S.,2022/12,2022,December,3.5,3.3
National,U.S.,2023/01,2023,January,3.4,3.9
National,U.S.,2023/02,2023,February,3.6,3.9
National,U.S.,2023/03,2023,March,3.5,3.6
National,U.S.,2023/04,2023,April,3.4,3.1
National,U.S.,2023/05,2023,May,3.7,3.4
National,U.S.,2023/06,2023,June,3.6,3.8
National,U.S.,2023/07,2023,July,3.5,3.8
National,U.S.,2023/08,2023,August,3.8,3.9
National,U.S.,2023/09,2023,September,3.8,3.6
National,U.S.,2023/10,2023,October,3.8,3.6
National,U.S.,2023/11,2023,November,3.7,3.5
National,U.S.,2023/12,2023,December,3.7,3.5
National,U.S.,2024/01,2024,January,3.7,4.1
National,U.S.,2024/02,2024,February,3.9,4.2
National,U.S.,2024/03,2024,March,3.8,3.9
National,U.S.,2024/04,2024,April,3.9,3.5
National,U.S.,2024/05,2024,May,4.0,3.7
National,U.S.,2024/06,2024,June,4.1,4.3
